GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Staphylococcus	hyicus	chromogenes	30:365 (AL)	subspecies (AL)	Devriese et al. 1978		2, t	DSM 20454, NCTC 10530	781197	781179
Staphylococcus	hyicus	hyicus	30:365 (AL)	subspecies (AL)	(Sompolinsky 1953) Devriese et al. 1978		2, t		784964	781196
Staphylococcus	intermedius		30:366 (AL)	species (AL)	Hájek 1976		2, Z	ATCC 29663, CCM 5739, DSM 20373, NCTC 11048	781198	
Staphylococcus	jettensis		63:3254*	sp. nov. (VP)	De Bel et al. 2013		2	SEQ110, LMG 26879, CCUG 62657, DSM 26618	791100	792351
Staphylococcus	kloosii		35:224	sp. nov. (VL)	Schleifer et al. 1985		1	DSM 20676, SC 210	781199	
Staphylococcus	lentus		33:897	comb. nov. (VL)	(Kloos et al. 1967) Schleifer et al. 1983		1	ATCC 29070, DSM 20352, Roguinsky K21	781201	
Staphylococcus	lugdunensis		38:168*	sp. nov. (VP)	Freney et al. 1988		2	ATCC 43809, DSM 4804, N 860297	781202	
Staphylococcus	lutrae		47:726*	sp. nov. (VP)	Foster et al. 1997		2, t	DSM 10244, M340/94/1	781203	
Staphylococcus	massiliensis		60:1071*	sp. nov. (VP)	Al Masalma et  al. 2010		2	5402776, CSUR P23, CCUG 55927	788534	
Staphylococcus	microti		60:572*	sp. nov. (VP)	Nováková et al. 2010		1, t+	CCM 4903, CCUG 55861, DSM 22147, 4005-LJ(m)	788398	
Staphylococcus	muscae		42:99*	sp. nov. (VP)	Hájek et al. 1992		1	CCM 4175, DSM 7068, MB4	781204	
Staphylococcus	nepalensis		53:2010*	sp. nov. (VP)	Spergser et al. 2003		2, t	CCM 7045, CW1, DSM 15150	781205	
Staphylococcus	pasteuri		43:241*	sp. nov. (VP)	Chesneau et al. 1993		2	ATCC 51129, BM9357, CCM 4389, DSM 10656	781207	
Staphylococcus	petrasii		63:2366	sp. nov. (VL)	Pantucek et al. 2013 emend. De Bel et al. 2014	emended description: IJSEM 64:4199*	2	CCM 8418, CCUG 62727, NRL/St 10/1050	790824	790825
Staphylococcus	petrasii	croceilyticus	63:2366	subsp. nov. (VL)	Pantucek et al. 2013		2	CCM 8421, CCUG 62728, MCC 10046	790826	
Staphylococcus	petrasii	jettensis	64:4201*	subsp. nov. (VP)	(De Bel et al. 2013) De Bel et al. 2014		2	SEQ110, LMG 26879, CCUG 62657, DSM 26618, CCM 8494	792351	
Staphylococcus	petrasii	petrasii	63:2366	subsp. nov. (VL)	Pantucek et al. 2013		2	CCM 8418, CCUG 62727, NRL/St 10/1050	790825	
Staphylococcus	petrasii	pragensis	65:2076*	subsp. nov. (VP)	Švec et al. 2015			NRL/St 12/356, CCM 8529, LMG 28327	792915	
Staphylococcus	pettenkoferi		57:1547*	sp. nov. (VP)	Trülzsch et al. 2007		2	B3117, CIP 107711, CCUG 51270	786500	
Staphylococcus	piscifermentans		42:578*	sp. nov. (VP)	Tanasupawat et al. 1992		1	DSM 7373, JCM 6057, NRIC 1817, SK03, TISTR 824	781208	
Staphylococcus	pseudintermedius		55:1572*	sp. nov. (VP)	Devriese et al. 2005		2, ht	CCUG 49543, LMG 22219, ON 86	785516	
Staphylococcus	pulvereri		45:171*	sp. nov. (VP), heterotypic syn.	Zakrzewska-Czerwinska et al. 1995	later synonym of <I>Staphylococcus vitulinus</I>	1, +	DSM 9930, NT215, PCM 2443	781209	781227
Staphylococcus	rostri		60:2047*	sp. nov. (VP)	Riesen and Perreten 2010		1	ARI 262, DSM 21968, CCUG 57266	788734	
Staphylococcus	saccharolyticus		34:91	comb. nov. (VL)	(Foubert and Douglas 1948) Kilpper-Bälz and Schleifer 1984		2	ATCC 14953, DSM 20359	781211	
Staphylococcus	saprophyticus		30:366 (AL)	species (AL)	(Fairbrother 1940) Shaw et al. 1951		2	ATCC 15305, CCM 883, DSM 20229, NCIB 8711, NCTC 7292	781212	781213
Staphylococcus	saprophyticus	bovis	46:793*	subsp. nov. (VP)	Hájek et al. 1996		1	CCM 4410, KV 12	784965	
Staphylococcus	saprophyticus	saprophyticus	30:366 (AL); 46:793*	subspecies (AL)	(Fairbrother 1940) Shaw et al. 1951	subspecies automatically created according to Rule 46	2	ATCC 15305, CCM 883, DSM 20229, NCIB 8711, NCTC 7292	781213	
Staphylococcus	schleiferi		38:168*	sp. nov. (VP)	Freney et al. 1988		2, ht		784966	781215
Staphylococcus	schleiferi	coagulans	40:410*	subsp. nov. (VP)	Igimi et al. 1990		2, ht	DSM 6628, GA 211, JCM 7470	781214	
Staphylococcus	schleiferi	schleiferi	38:168*	subsp. nov. (VP)	Freney et al. 1988	subspecies automatically created according to Rule 46	2, ht	ATCC 43808, DSM 4807, N 850274	781215	
Staphylococcus	schweitzeri		65:21*	sp. nov. (VP)	Tong et al. 2015			FSA084, DSM 28300, SSI 89.004	792443	
Staphylococcus	sciuri		30:366 (AL)	species (AL)	Kloos et al. 1976 emend. Kloos et al. 1997 emend. Švec et al. 2016	emended descriptions: emended description: IJSB 47:320* and IJSEM 66:5185*	1	ATCC 29062, DSM 20345, Kloos SC 116, SC 116	781216	
Staphylococcus	sciuri	carnaticus	47:320*	subsp. nov. (VP), heterotypic syn.	Kloos et al. 1997		1	ATCC 700058, DD 791	781217	781216
Staphylococcus	sciuri	lentus	30:366 (AL)	subspecies (AL)	Kloos et al. 1976		1	ATCC 29070, DSM 20352, Roguinsky K21	781218	781201
Staphylococcus	sciuri	rodentium	47:321*	subsp. nov. (VP), heterotypic syn.	Kloos et al. 1997	Rejection of the subspecies by	1	ATCC 700061, DD 4761	781219	781216
Staphylococcus	sciuri	sciuri	30:366 (AL)	subspecies (AL), homotypic syn.	Kloos et al. 1976 emend. Kloos et al. 1997	subspecies automatically created according to Rule 46; emended description: IJSB 47:320*	1	ATCC 29062, DSM 20345	781220	781216
Staphylococcus	simiae		55:1947*	sp. nov. (VP)	Pantucek et al. 2005		2, t	CCM 7213, LMG 22723	781221	
Staphylococcus	simulans		30:366 (AL)	species (AL)	Kloos and Schleifer 1975		1, ht+	ATCC 27848, CCM 2705, DSM 20322	781222	
Staphylococcus	stepanovicii		62:1444	sp. nov. (VL)	Hauschild et al. 2012			196, CCM 7717, PCM 2693	789909	
Staphylococcus	succinus		48:516*	sp. nov. (VP)	Lambert et al. 1998		1	AMG-D1, ATCC 700337, DSM 14617	784967	781226
Staphylococcus	succinus	casei	53:1	subsp. nov. (VL)	Place et al. 2003		1	CIP 107658, DSM 15096, SB72	781225	
Staphylococcus	succinus	succinus	48:516*; 53:1	subsp. nov. (VP)	Lambert et al. 1998		1	AMG-D1, ATCC 700337	781226	
Staphylococcus	vitulinus		44:458*	sp. nov. (VP)	Webster et al. 1994 emend. Svec et al. 2004	nom. corrig.: IJSB 48:615*; <I>Staphylococcus vitulus</I> (sic)	1, +	ATCC 51145, DD 756	781227	
Staphylococcus	warneri		30:366 (AL)	species (AL)	Kloos and Schleifer 1975		1, ht+	ATCC 27836, CCM 2730, DSM 20316	781228	
Staphylococcus	xylosus		30:366 (AL)	species (AL)	Schleifer and Kloos 1975		1, ht+	ATCC 29971, CCM 2738, DSM 20266	781229	
Staphylothermus			36:573	gen. nov. (VL)	Stetter and Fiala 1986				517117	
Staphylothermus	hellenicus		50:2106*	sp. nov. (VP)	Arab et al. 2000		1	DSM 12710, JCM 10830, P8	781230	
Staphylothermus	marinus		36:573	sp. nov. (VL)	Stetter and Fiala 1986		1	DSM 3639, F1	781231	
Stappia			49:2	gen. nov. (VL)	Uchino et al. 1999 emend. Biebl et al. 2007				517562	
Stappia	aggregata		49:2	sp. nov. (VL)	(ex Ahrens 1968) Uchino et al. 1999	"= ""Agrobacterium stellulatum"" (invalid)"	1	IAM 12614	786289	786286
Stappia	alba		56:3	sp. nov. (VL)	Pujalte et al. 2006		1	5OM6, CECT 5095, CIP 108402	786297	786294
Stappia	indica		60:736*	sp. nov. (VP)	Lai et al. 2010		1	B106, PR56-8, CCTCC AB 208228, LMG 24625, MCCC 1A01226	788471	
Stappia	marina		56:78*	sp. nov. (VP)	Kim et al. 2006		1	DSM 17023, KCTC 12288, mano 18	786293	786290
Stappia	stellulata		49:2	comb. nov. (VL)	(Rüger and Höfle 1992) Uchino et al. 1999 emend. Biebl et al. 2007		1	ATCC 15215, DSM 5886, IAM 12621	781236	
Stappia	taiwanensis		63:1353*	sp. nov. (VP)	Kämpfer et al. 2013		1	CC-SPIO-10, CCUG 59208, CCM 7757, LMG 25538	790634	
Starkeya			50:1800*	gen. nov. (VP)	Kelly et al. 2000				516666	
Starkeya	koreensis		56:2411*	sp. nov. (VP)	Im et al. 2006		1	Jip08, KCTC 12212, NBRC 100963, IAM 15215	781237	
Starkeya	novella		50:1800*	comb. nov. (VP)	(Starkey 1934) Kelly et al. 2000		1	ATCC 8093, CCM 1077, DSM 506, IFO 12443, NCIB 9113	781238	
Stella			35:518*	gen. nov. (VP)	Vasilyeva 1985				516668	
Stella	humosa		35:518*	sp. nov. (VP)	Vasilyeva 1985		1	AUCM B-1137, DSM 5900	781240	
Stella	vacuolata		35:518*	sp. nov. (VP)	Vasilyeva 1985		1	DSM 5901, INMI 229	781241	
Stenothermobacter			56:184*	gen. nov. (VP)	Lau et al. 2006				517352	
Stenothermobacter	spongiae		56:184*	sp. nov. (VP)	Lau et al. 2006		1	JCM 13191, NRRL B-41138, UST030701-156	784970	789902
Stenotrophobacter			66:1604	gen. nov. (VL)	Pascual et al. 2016				518907	
Stenotrophobacter	namibiensis		66:1604	sp. nov. (VL)	Pascual et al. 2016			Ac_17_F2, DSM 29893, LMG 28890	793892	
Stenotrophobacter	roseus		66:1604	sp. nov. (VL)	Pascual et al. 2016			Ac_15_C4, DSM 29891, LMG 28889	793893	
Stenotrophobacter	terrae		66:1604	sp. nov. (VL)	Pascual et al. 2016			Ac_28_D10, DSM 26560, LMG 28657	793894	
Stenotrophomonas			43:608*	gen. nov. (VP)	Palleroni and Bradbury 1993 emend. Ouattara et al. 2017	emended description: IJSEM 67:1898*			516670	
Stenotrophomonas	acidaminiphila		52:567*	sp. nov. (VP)	Assih et al. 2002		1	AMX 19, ATCC 700916, CIP 106456, DSM 13117	781246	
Stenotrophomonas	africana		47:162*	sp. nov. (VP), heterotypic syn.	Drancourt et al. 1997	later heterotypic synonym of <I>Stenotrophomonas maltophilia</I>; synonymy:IJSEM 54:1237*	2, ht	CIP 104854, MGB	784971	781249
Stenotrophomonas	bentonitica		67:2785*	sp. nov. (VP)	Sánchez-Castro et al. 2017			BII-R7, LMG 29893, CECT 9180, DSM 103927	795717	
Stenotrophomonas	chelatiphaga		60:1010	sp. nov. (VL)	Kaparullina et al. 2010		1	LPM-5, VKM B-2486, DSM 21508, CCUG 57178	788515	
Stenotrophomonas	daejeonensis		61:603*	sp. nov. (VP)	Lee et al. 2011		1	MJ03, JCM 16244, KCTC 22451	781247	
Stenotrophomonas	dokdonensis		56:1366*	sp. nov. (VP)	Yoon et al. 2006		1	CIP 108839, DS-16, KCTC 12543	784972	787546
Stenotrophomonas	ginsengisoli		60:1525*	sp. nov. (VP)	Kim et al. 2010		1	DCY01, KCTC 12539, NBRC 101154	788627	
Stenotrophomonas	humi		57:2060*	sp. nov. (VP)	Heylen et al. 2007		1	R-32729, LMG 23959, DSM 18929	786709	
Stenotrophomonas	koreensis		56:83*	sp. nov. (VP)	Yang et al. 2006		1	JCM 13256, KCTC 12211, TR6-01	781248	
Stenotrophomonas	maltophilia		43:608*	comb. nov. (VP)	(Hugh 1981) Palleroni and Bradbury 1993	earlier heterotypic synonym of <I>Stenotrophomonas africana</I>	2, ht	810-2, ATCC 13637, DSM 50170, ICPB 2648-67, IMET 10402, NCIB 9203, NCTC 10257, RH 1168	781249	
Stenotrophomonas	nitritireducens		50:281*	sp. nov. (VP)	Finkmann et al. 2000		1	DSM 12575, L2	781250	
Stenotrophomonas	pavanii		61:930*	sp. nov. (VP)	Ramos et al. 2011		1	ICB 89, CBMAI 564, LMG 25348	789171	
Stenotrophomonas	pictorum		67:1899*	comb. nov. (VP)	(Gray and Thornton 1928) Ouattara et al. 2017		1	ATCC 23328, VKM 1240, DSM 19282, CCM 284, CCUG 1823, CCUG 3368, CIP 103273, JCM 9942, LMG 981, NCIMB 9152	795416	
Stenotrophomonas	rhizophila		52:1943*	sp. nov. (VP)	Wolf et al. 2002		1	ATCC BAA-473, DSM 14405, e-p10	781251	
Stenotrophomonas	terrae		57:2059*	sp. nov. (VP)	Heylen et al. 2007		1	R-32768, LMG 23958, DSM 18941	786708	
Stenotrophomonas	tumulicola		66:1123*	sp. nov. (VP)	Handa et al. 2016			T5916-2-1b, JCM 30961, NCIMB 15009	793959	
Stenoxybacter			58:529	gen. nov. (VP)	Wertz and Breznak 2008				517545	
Stenoxybacter	acetivorans		58:529	sp. nov. (VL)	Wertz and Breznak 2008		1	TAM-DN1, ATCC BAA-1483, DSM 19021	785988	
Steroidobacter			58:2220*	gen. nov. (VP)	Fahrbach et al. 2008				517817	
Steroidobacter	agariperforans		64:2185	sp. nov. (VL)	Sakai et al. 2014			KA5-B, JCM 18477, KCTC 32107	791945	
Steroidobacter	denitrificans		58:2221*	sp. nov. (VP)	Fahrbach et al. 2008		1	FS, DSM 18526, JCM 14622	787545	
Sterolibacterium			53:1089*	gen. nov. (VP)	Tarlera and Denner 2003				516676	
Sterolibacterium	denitrificans		53:1090*	sp. nov. (VP)	Tarlera and Denner 2003		1	ATCC BAA-354, Chol-1S, DSM 13999	781271	
Stetteria			48:328	gen. nov. (VL)	Jochimsen et al. 1998	complete authorship reads: Jochimsen, Peinemann-Simon and Thomm 1998 <I>in</I> Jochimsen, Peinemann-Simon, Völker, Stüben, Botz, Stoffers, Dando and Thomm 1997			516677	
Stetteria	hydrogenophila		48:328	sp. nov. (VL)	Jochimsen et al. 1998	complete authorship reads: Jochimsen, Peinemann-Simon and Thomm 1998 <I>in</I> Jochimsen, Peinemann-Simon, Völker, Stüben, Botz, Stoffers, Dando and Thomm 1997	1	4ABC, DSM 11227	781272	
Stibiobacter			30:366 (AL)	genus (AL)	Lyalikova 1974				516678	
Stibiobacter	senarmontii		30:366 (AL)	species (AL)	Lyalikova 1974		1	VKM MV-1130	781273	
Stigmatella			30:366 (AL)	genus (AL)	Berkeley and Curtis 1875				516680	
Stigmatella	aurantiaca		30:366 (AL)	species (AL)	Berkeley and Curtis 1875		1	ATCC 25190	781275	
Stigmatella	erecta		30:366 (AL)	species (AL)	(Schroeter 1886) McCurdy 1971		1	ATCC 25191	781276	
Stigmatella	hybrida		57:894	sp. nov. (VL)	Reichenbach 2007		1	Sg h20, DSM 14722, CIP 109130	781277	
Stomatobaculum			63:1455*	gen. nov. (VP)	Sizova et al. 2013				518327	
Stomatobaculum	longum		63:1455*	sp. nov. (VP)	Sizova et al. 2013		1	ACC2, HM-480 (deposited in BEI Resources, an NIH collection managed by the ATCC), DSM 24645	790633	
Stomatococcus			32:375*	gen. nov. (VP), homotypic syn.	Bergan and Kocur 1982	type species has been transferred to the genus <I>Rothia</I>			516681	516509
Stomatococcus	mucilaginosus		32:374*	sp. nov. (VP)	(ex Migula 1900) Bergan and Kocur 1982	"basonym ""<I>Micrococcus mucilaginosus</I>"""	2	ATCC 25296, CCM 2417, DSM 20746, NCTC 10663	781278	780595
Streptacidiphilus			53:1219	gen. nov. (VL)	Kim et al. 2003				516684	
Streptacidiphilus	albus		53:1219	sp. nov. (VL)	Kim et al. 2003		1	DSM 41753, JL83, KCTC 9910	781281	
Streptacidiphilus	anmyonensis		58:1568*	sp. nov. (VP)	Cho et al. 2008		1	AM-11, KCTC 19278, NBRC 103185	787446	
Streptacidiphilus	carbonis		53:1219	sp. nov. (VL)	Kim et al. 2003		1	DSM 41754, JL415, KCTC 9912	781282	
Streptacidiphilus	durhamensis		64:2	sp. nov. (VL)	Golinska et al. 2014	In the effective publication, the type strain was erroneously cited as NCIMB 14829 (sic). The number has been corrected in an erratum	1	FSCA67, DSM 45796, KACC 17154, NCIMB 14828	791411	
Streptacidiphilus	hamsterleyensis		64:694	sp. nov. (VL)	Golinska et al. 2014		1	HSCA 14, DSM 45900, KACC 17456, NCIMB 14865	791309	
Streptacidiphilus	jiangxiensis		55:1744	sp. nov. (VL)	Huang et al. 2005		1	33214, CGMCC 4.1857, JCM 12277	784973	
Streptacidiphilus	melanogenes		58:1570*	sp. nov. (VP)	Cho et al. 2008		1	SB-B34, KCTC 19280, NBRC 103184	787447	
Streptacidiphilus	neutrinimicus		53:1219	sp. nov. (VL)	Kim et al. 2003		1	DSM 41755, JL206, KCTC 9911	781286	
Streptacidiphilus	oryzae		56:1260*	sp. nov. (VP)	Wang et al. 2006		1	CGMCC 4.2012, JCM 13271, TH49	784974	
Streptacidiphilus	rugosus		58:1569*	sp. nov. (VP)	Cho et al. 2008		1	AM-16, KCTC 19279, NBRC 103186	787448	
Streptimonospora			51:362*	orthographically incorrect name	Cui et al. 2001				516685	516690
Streptimonospora	salina		51:362*	orthographically incorrect name	Cui et al. 2001		1		781289	781398
Streptoalloteichus			37:211*	gen. nov. (VP), nom. rev.	(ex Tomita et al. 1978) Tomita et al. 1987 emend. Tamura et al. 2008	emended description 58:689*			516687	
Streptoalloteichus	hindustanus		37:211*	sp. nov. (VP)	Tomita et al. 1987		1	ATCC 31217, C 677-91, DSM 44523	781291	
Streptoalloteichus	tenebrarius		58:691*	nom. rev., comb. nov. (VP)	(ex Higgins and Kastner 1967) Tamura et al. 2008	"synonym: ""<I>Streptomyces tenebrarius</I>"" Higgins and Kastner 1967"	1	ATCC 17920, JCM 4838, DSM 40477, NRRL B-12390T, ISP 5477, NBRC 16177	787236	
Streptobacillus			30:366 (AL)	genus (AL)	Levaditi et al. 1925 emend. Woo et al. 2014 emend. Eisenberg et al. 2015 emend. Eisenberg et al. 2015	emended descriptions: IJSEM 64:3037/38*, IJSEM 65:2176* and IJSEM 65:4827*			516688	
Streptobacillus	felis		65:2176*	sp. nov. (VP)	Eisenberg et al. 2015			131000547, DSM 29248, CCUG 66203, CCM 8542	792929	
Streptobacillus	hongkongensis		64:3038*	sp. nov. (VP)	Woo et al. 2014			HKU33, JCM 18691, NCTC 13659, DSM 26322	792174	
Streptobacillus	moniliformis		30:366 (AL)	species (AL)	Levaditi et al. 1925 emend. Woo et al. 2014 emend. Eisenberg et al. 2015	emended descriptions: IJSEM 64:3038* and IJSEM 65:2176/77*	2, Z	ATCC 14647, DSM 12112, CCUG 13453, NCTC 10651, 9901, CCUG 2469	781292	
Streptobacillus	notomytis		65:4828*	sp. nov. (VP)	Eisenberg et al. 2015			AHL 370-1, CCUG 12425, DSM 100026, CCM 8593, EF 12425	793612	
Streptobacillus	ratti		66:1624*	sp. nov. (VP)	Eisenberg et al. 2016			OGS16, JCM 31098, DSM 101843	794063	
Streptococcus			30:367 (AL)	genus (AL)	Rosenbach 1884				517118	
Streptococcus	acidominimus		30:367 (AL)	species (AL)	Ayers and Mudge 1922		2, ht	DSM 20622, NCDO 2025	781295	
Streptococcus	adjacens		39:290*	sp. nov. (VP)	Bouvet et al. 1989		2	ATCC 49175, CIP 103243, DSM 9848, GaD	781296	776611
Streptococcus	agalactiae		30:367 (AL)	species (AL)	Lehmann and Neumann 1896		2, ht	ATCC 13813, DSM 2134, NCTC 8181	781297	
Streptococcus	alactolyticus		35:224	sp. nov. (VL)	Farrow et al. 1985		1	ATCC 43077, DSM 20728, NCDO 1091	781298	
Streptococcus	anginosus		30:367 (AL)	species (AL)	(Andrewes and Horder 1906) Smith and Sherman 1938 emend. Whiley and Beighton 1991	"synonym: ""Streptococcus milleri"" IJSB 37:226*"	2	ATCC 12395, ATCC 33397, DSM 20563, NCTC 10713	781299	790919
Streptococcus	anginosus	anginosus	63:2517*	subsp. nov. (VP)	(Andrewes and Horder 1906) Jensen et al. 2013		2	NCTC 10713, ATCC 33397	790919	
Streptococcus	anginosus	whileyi	63:2517*	subsp. nov. (VP)	Jensen et al. 2013		2	SK1267, CCUG 39159, DSM 25818	790922	
Streptococcus	australis		51:1281*	sp. nov. (VP)	Willcox et al. 2001		1	AI-1, ATCC 700641, NCTC 13166	781300	
Streptococcus	bovis		30:367 (AL)	species (AL), heterotypic syn.	Orla-Jensen 1919	synonymy: IJSEM 53:916*	2, ht	ATCC 33317, DSM 20480, NCDO 597, NCTC 8177	781302	781328
Streptococcus	caballi		58:265*	sp. nov. (VP)	Milinovich et al. 2008			151, ATCC BAA-1485, DSM 19004	787161	
Streptococcus	cameli		65:1107	sp. nov. (VL)	Kadri et al. 2015			CCMM B834, LMG 27685	792771	
Streptococcus	canis		36:422*	sp. nov. (VP)	Devriese et al. 1986		2, Z	ATCC 43496, DSM 20715, STR-T1	781303	
Streptococcus	caprae		66:199*	sp. nov. (VP)	Vela et al. 2016			DICM07-02790-1C, CECT 8872, CCUG 67170	793751	
Streptococcus	caprinus		46:362	sp. nov. (VL), heterotypic syn.	Brooker et al. 1996	synonymy: IJSB 47:893*	1	ACM 3969, TPC 2.3	784975	781337
Streptococcus	castoreus		55:845*	sp. nov. (VP)	Lawson et al. 2005		1, t+	CCUG 48115, CIP 108205, M605815/03/2	781305	
Streptococcus	caviae		67:1555*	sp. nov. (VP)	Palakawong Na Ayudthaya et al. 2017			Cavy grass 6, TISTR 2371, DSM 102819	795284	
Streptococcus	cecorum		33:774*	sp. nov. (VP)	Devriese et al. 1983		1, +	A6O, ATCC 43198, DSM 20682, NCDO 2674	781306	775960
Streptococcus	constellatus		30:36 (AL)	species (AL)	(Prévot 1924) Holdeman and Moore  1974 emend. Whiley and Beighton 1991 emend. Whiley et al. 1999		2		784976	781308
Streptococcus	constellatus	constellatus	30:36 (AL)	subspecies (AL)	(Prévot 1924) Holdeman and Moore  1974 emend. Whiley and Beighton 1991 emend. Whiley et al. 1999	subspecies automatically created according to Rule 46; regarded as later subjective synonym of Streptococcus anginosus IJSB 37:222*; later corrected IJSB 41:1*	2	ATCC 27823, DSM 20575, NCDO 2226	781308	
Streptococcus	constellatus	pharyngis	49:1448*	subsp. nov. (VP)	Whiley et al. 1999		2	MM9889a, NCTC 13122	781309	
Streptococcus	constellatus	viborgensis	63:2517*	subsp. nov. (VP)	Jensen et al. 2013		2	SK1359, CCUG 62387, DSM 25819	790923	
Streptococcus	cremoris		30:367 (AL)	species (AL)	Orla-Jensen 1919		1	DSM 20069, IMET 10707, NCDO 607	781310	777421
Streptococcus	criceti		30:367 (AL)	species (AL)	Coykendall 1977	nom. corrig.: IJSB 48:615*; <I>Streptococcus cricetus</I> (sic)	1	ATCC 19642, DSM 20562	781311	
Streptococcus	cristatus		41:546*	sp. nov. (VP)	Handley et al. 1991	nom. corrig.: IJSB 47:909*; <I>Streptococcus crista</I> (sic)	1	CR311, DSM 8249, NCTC 12479	781313	
Streptococcus	cuniculi		64:2489*	sp. nov. (VP)	Vela et al. 2014			NED12-00049-6B, CECT 8498, CCUG 65085, NED12-000496b	791996	
Streptococcus	danieliae		63:798	sp. nov. (VL)	Clavel et al. 2013		1	ERD01G, DSM 22233, CCUG 57647	790471	
Streptococcus	defectivus		39:290*	sp. nov. (VP)	Bouvet et al. 1989		2	ATCC 49176, CIP 103242, DSM 9849, SC10	781315	772468
Streptococcus	dentapri		60:822*	sp. nov. (VP)	Takada et al. 2010		1	NUM 1529, DSM 21999, JCM 15752	788472	
Streptococcus	dentasini		63:2786*	sp. nov. (VP)	Takada et al. 2013			NUM 1808, JCM 17943, DSM 25137	790988	
Streptococcus	dentiloxodontae		66:3882*	sp. nov. (VP)	Shinozaki-Kuwahara et al. 2016			NUM 2404, JCM 19284, DSM 27381	794659	
Streptococcus	dentirousetti		58:162*	sp. nov. (VP)	Takada and Hirasawa 2008		2, t	NUM 1303, DSM 18963, JCM 14596	787162	
Streptococcus	dentisani		64:65*	sp. nov. (VP)	Camelo-Castilloet al. 2014	The GenBank/EMBL/DDBJ accession numbers for the 16S rRNA and 23S rRNA gene sequences given by Camelo-Castillo et al. 2014 have been corrected by an erratum		Str. 7747, CECT 8312, DSM 27088	791468	794814
Streptococcus	devriesei		54:631	sp. nov. (VL)	Collins et al. 2004		2, t	CCUG 47155, CIP 107809	784978	
Streptococcus	didelphis		50:765*	sp. nov. (VP)	Rurangirwa et al. 2000		2	ATCC 700828, WADDL 94-11374-1	781317	
Streptococcus	difficile		45:197	orthographically incorrect name	Eldar et al. 1995	nom. corrig. IJSB 48:1073*	2, ht		784979	781297
Streptococcus	difficilis		45:197	sp. nov. (VL), heterotypic syn.	Eldar et al. 1995	nom. corrig.: IJSB 48:1073*; <I>Streptococcus difficile</I> (sic); later synonym of <I>Streptococcus agalactiae</I> (IJSEM 55:965)	2, ht	ATCC 51487, CIP 103768, ND 2-22	781318	781297
Streptococcus	downei		38:25*	sp. nov. (VP)	Whiley et al. 1988	formerly Streptococcus mutans serotype h	1	ATCC 33748, DSM 5635, M Fe 28, NCTC 11391	781319	
Streptococcus	durans		34:330*	sp. nov. (VP), homotypic syn.	Knight et al. 1984	same as Enterococcus durans which has precedence (IJSB 34:222*)	2, TA, ht	ATCC 19432	784980	775963
Streptococcus	dysgalactiae		33:404*	sp. nov., nom. rev. (VP)	(ex Diernhofer 1932) Garvie et al. 1983		2, t	ATCC 43078, DSM 20662, NCDO 2023	781320	781321
Streptococcus	dysgalactiae	dysgalactiae	33:404*	subsp. nov. (VP)	(ex Diernhofer 1932) Garvie et al. 1983 emend. Vieira et al. 1998	subspecies automatically created according to Rule 46; emended description IJSB 48:1242*	2, t	ATCC 43078, DSM 20662, NCDO 2023	781321	
Streptococcus	dysgalactiae	equisimilis	46:780*	subsp. nov. (VP)	Vandamme et al. 1996 emend. Vieira et al. 1998	emended description IJSB 48:1242*	2, ht	LMG 16026, NCFB 1356	781322	
Streptococcus	entericus		52:668*	sp. nov. (VP)	Vela et al. 2002		1, t+	CCUG 44616, CECT 5353, DSM 14446	781323	
Streptococcus	equi		30:367 (AL)	species (AL)	Sand and Jensen 1888	divided into subspecies	2		781324	
Streptococcus	equi	equi	30:367 (AL)	subspecies (AL)	Sand and Jensen 1888		2, ht	ATCC 33398, DSM 20561, NCDO 2493, NCTC 9682	781325	
Streptococcus	equi	ruminatorum	54:2295*	subsp. nov. (VP)	Fernández et al. 2004		2, ht	CCUG 47520, CECT 5772, Mt 167	781326	
Streptococcus	equi	zooepidemicus	35:224	subsp. nov., nom. rev. (VL)	(ex Frost and Englebrecht 1936) Farrow and Collins 1985	"basonym ""<I>Streptococcus zooepidemicus</I>"""	2, ht	ATCC 43079, DSM 20727, NCDO 1358	781327	
Streptococcus	equinus		30:367 (AL)	species (AL)	Andrewes and Horder 1906		2, ht	ATCC 9812, DSM 20558, NCDO 1037	781328	
Streptococcus	faecalis		30:367 (AL)	species (AL)	Andrewes and Horder 1906		2	DSM 20478, NCTC 775	781330	775964
Streptococcus	faecium		30:367 (AL)	species (AL)	Orla-Jensen 1919		2, TA	DSM 20477, NCTC 7171	781333	775965
Streptococcus	ferus		33:883*	sp. nov., nom. rev. (VP)	(ex Coykendall 1977) Coykendall 1983 emend. Baele et al. 2003	emended description: IJSEM 53:146*	1	851, ATCC 33477, DSM 20646, LMG 16520	781334	
Streptococcus	gallinaceus		52:1163*	sp. nov. (VP)	Collins et al. 2002		2, Z	CCUG 42692, CIP 107087, DSM 15349	781335	
Streptococcus	gallinarum		32:414*	sp. nov. (VP)	Bridge and Sneath 1982		2, ht	DSM 20628, F87/276, NCTC 11428, PB21	781336	775967
Streptococcus	gallolyticus		46:362	sp. nov. (VL)	Osawa et al. 1996 emend. Schlegel et al. 2003		1	ACM 3611	781337	
